model,trial_id,nodes,parameters,val_accuracy,xz_units,yl_units,merged_units1,merged_units2,merged_units3,dropout_rate,learning_rate,conv_filters,kernel_rows,kernel_cols,scalar_dense_units,merged_dense_1,merged_dense_2
Model2,000,385,27081,0.9468725323677063,8.0,24.0,256.0,64.0,32.0,0.1,0.000926543735982781,,,,,,
Model2,001,297,18729,0.9468889236450195,8.0,56.0,96.0,80.0,56.0,0.1,0.001989751755243559,,,,,,
Model2,002,193,8489,0.9365163445472717,40.0,8.0,96.0,32.0,16.0,0.1,0.00015188551736259345,,,,,,
Model2,003,201,6849,0.9422690272331238,32.0,32.0,32.0,80.0,24.0,0.1,0.0005880431087905998,,,,,,
Model2,004,233,11369,0.9477761089801788,40.0,32.0,64.0,80.0,16.0,0.1,0.008330111780465995,,,,,,
Model2,005,369,26249,0.938267320394516,24.0,48.0,192.0,48.0,56.0,0.1,0.00013414267455355165,,,,,,
Model2,006,377,32289,0.9489704668521881,48.0,32.0,128.0,128.0,40.0,0.1,0.005117045969850107,,,,,,
Model2,007,281,16553,0.9485596120357513,24.0,48.0,96.0,64.0,48.0,0.1,0.003905968508609108,,,,,,
Model2,008,385,29193,0.9396487772464752,8.0,56.0,192.0,64.0,64.0,0.1,0.00017850071151495693,,,,,,
Model2,009,401,34385,0.9492402076721191,64.0,32.0,224.0,48.0,32.0,0.1,0.003579780491805438,,,,,,
Model2,010,209,7513,0.9306303560733795,40.0,24.0,32.0,80.0,32.0,0.1,0.00011998472287810798,,,,,,
Model2,011,305,21153,0.9480271339416504,16.0,32.0,96.0,112.0,48.0,0.1,0.008553027379762107,,,,,,
Model2,012,257,10753,0.9392979443073273,16.0,56.0,32.0,112.0,40.0,0.1,0.0002421696251742364,,,,,,
Model2,013,361,27905,0.9450794756412506,16.0,56.0,96.0,128.0,64.0,0.1,0.0004160740903870983,,,,,,
Model2,014,329,18873,0.9461537599563599,8.0,48.0,192.0,32.0,48.0,0.1,0.0012941555333848493,,,,,,
Model2,015,433,40609,0.9440114200115204,64.0,56.0,160.0,96.0,56.0,0.1,0.0002249755313619729,,,,,,
Model2,016,305,19913,0.9462761580944061,56.0,8.0,160.0,48.0,32.0,0.1,0.0006272926608040048,,,,,,
Model2,017,225,10001,0.9411658942699432,64.0,8.0,64.0,48.0,40.0,0.1,0.00023700731349812458,,,,,,
Model2,018,409,36601,0.9457179605960846,8.0,40.0,224.0,96.0,40.0,0.1,0.0006605848990202585,,,,,,
Model2,019,321,19225,0.9487279951572418,8.0,32.0,192.0,48.0,40.0,0.1,0.0055855881161241475,,,,,,
Model2,020,345,21793,0.9486866891384125,48.0,40.0,160.0,32.0,64.0,0.1,0.004569579155191588,,,,,,
Model2,021,329,18497,0.9341596066951752,64.0,56.0,64.0,80.0,64.0,0.1,0.0001029562160619873,,,,,,
Model2,022,201,8993,0.9390515983104706,16.0,8.0,64.0,64.0,48.0,0.1,0.00023719127670472298,,,,,,
Model2,023,377,28977,0.9487599730491638,32.0,56.0,160.0,64.0,64.0,0.1,0.006023999675985848,,,,,,
Model2,024,225,6953,0.9402389228343964,56.0,64.0,32.0,48.0,24.0,0.1,0.0002333905935392085,,,,,,
Model2,025,505,57001,0.9486188590526581,56.0,8.0,256.0,128.0,56.0,0.1,0.0036990629351355588,,,,,,
Model2,026,273,13489,0.9418433606624603,48.0,8.0,32.0,128.0,56.0,0.1,0.00041818829630028666,,,,,,
Model2,027,209,8729,0.9239678978919983,8.0,8.0,96.0,48.0,48.0,0.1,0.00011103593434762787,,,,,,
Model2,028,273,14985,0.9470549821853638,8.0,64.0,128.0,32.0,40.0,0.1,0.007098325702001617,,,,,,
Model2,029,433,42057,0.9494389891624451,40.0,32.0,224.0,96.0,40.0,0.1,0.0017004031943995508,,,,,,
Model2,030,233,12393,0.9302896559238434,24.0,64.0,96.0,32.0,16.0,0.1,0.00011761309742767026,,,,,,
Model2,031,345,24505,0.9463564455509186,24.0,32.0,224.0,48.0,16.0,0.1,0.0006950772468507907,,,,,,
Model2,032,401,35777,0.9496385753154755,48.0,56.0,224.0,48.0,24.0,0.1,0.004384151266566465,,,,,,
Model2,033,345,25329,0.9362263381481171,32.0,56.0,96.0,128.0,32.0,0.1,0.00011289813322780023,,,,,,
Model2,034,289,18369,0.9421021640300751,48.0,32.0,96.0,80.0,32.0,0.1,0.00021248812604678072,,,,,,
Model2,035,337,25049,0.9452377557754517,24.0,40.0,96.0,128.0,48.0,0.1,0.0005293391761557029,,,,,,
Model2,036,337,25105,0.943261444568634,64.0,32.0,160.0,48.0,32.0,0.1,0.00022675640157151182,,,,,,
Model2,037,313,20313,0.9432941973209381,24.0,56.0,96.0,80.0,56.0,0.1,0.00036370716699464734,,,,,,
Model2,038,145,4561,0.9450981914997101,16.0,8.0,32.0,64.0,24.0,0.1,0.006492690297457527,,,,,,
Model2,039,297,12001,0.9461451768875122,48.0,56.0,32.0,128.0,32.0,0.1,0.0015323427281788212,,,,,,
Model2,040,257,14161,0.9419064819812775,16.0,24.0,64.0,128.0,24.0,0.1,0.0003396785425006228,,,,,,
Model2,041,409,36345,0.9470120966434479,8.0,64.0,256.0,64.0,16.0,0.1,0.000990637202193499,,,,,,
Model2,042,473,46745,0.9477379322052002,40.0,64.0,256.0,64.0,48.0,0.1,0.0011466013001199728,,,,,,
Model2,043,249,12905,0.9478751122951508,40.0,16.0,64.0,112.0,16.0,0.1,0.006349260132301681,,,,,,
Model2,044,489,52369,0.9457280933856964,32.0,56.0,256.0,96.0,48.0,0.1,0.00033451441046197393,,,,,,
Model2,045,401,34817,0.9470838010311127,32.0,8.0,224.0,96.0,40.0,0.1,0.0008430177316823599,,,,,,
Model2,046,329,23761,0.9377457499504089,16.0,56.0,128.0,80.0,48.0,0.1,0.00016478996207387034,,,,,,
Model2,047,217,9129,0.9465342164039612,8.0,8.0,96.0,48.0,56.0,0.1,0.007554544167531015,,,,,,
Model2,048,233,6841,0.9459378123283386,40.0,64.0,32.0,32.0,64.0,0.1,0.004502504730324185,,,,,,
Model2,049,513,57089,0.9453796446323395,64.0,64.0,224.0,96.0,64.0,0.1,0.0002626406585869646,,,,,,
Model2,050,297,17985,0.9428662061691284,32.0,32.0,64.0,112.0,56.0,0.1,0.0003918641276645972,,,,,,
Model2,051,353,28409,0.9370293021202087,40.0,24.0,128.0,112.0,48.0,0.1,0.00010674541740374034,,,,,,
Model2,052,481,52185,0.9469645321369171,8.0,64.0,256.0,112.0,40.0,0.1,0.0008783907168895426,,,,,,
Model2,053,345,19449,0.9486975967884064,40.0,16.0,192.0,32.0,64.0,0.1,0.00332265556312533,,,,,,
Model2,054,441,43385,0.9427609443664551,40.0,48.0,160.0,128.0,64.0,0.1,0.00019252856095737495,,,,,,
Model2,055,193,6457,0.9403176605701447,8.0,40.0,32.0,48.0,64.0,0.1,0.0004192081977462822,,,,,,
Model2,056,353,28649,0.9482017755508423,24.0,56.0,128.0,112.0,32.0,0.1,0.002647525297275649,,,,,,
Model2,057,305,16305,0.9478244483470917,16.0,40.0,160.0,32.0,56.0,0.1,0.0028209709086056147,,,,,,
Model2,058,273,10089,0.9474915564060211,8.0,8.0,160.0,32.0,64.0,0.1,0.009726251164538662,,,,,,
Model2,059,425,37169,0.9460103213787079,32.0,8.0,224.0,96.0,64.0,0.1,0.0006346833837140555,,,,,,
Model2,060,249,14417,0.9460742473602295,16.0,8.0,64.0,112.0,48.0,0.1,0.0018188525449890844,,,,,,
Model2,061,369,28529,0.9349470138549805,32.0,40.0,224.0,48.0,24.0,0.1,0.00011307631534561521,,,,,,
Model2,062,321,22497,0.9396573603153229,48.0,32.0,160.0,48.0,32.0,0.1,0.0001231642465909657,,,,,,
Model2,063,369,28689,0.9475391209125519,16.0,64.0,96.0,128.0,64.0,0.1,0.009729150140839459,,,,,,
Model2,064,177,4953,0.9442936480045319,56.0,24.0,32.0,32.0,32.0,0.1,0.0009596496158057221,,,,,,
Model2,065,241,8625,0.945308655500412,48.0,48.0,32.0,64.0,48.0,0.1,0.0009358636959100566,,,,,,
Model2,066,441,42529,0.9347552061080933,16.0,40.0,256.0,96.0,32.0,0.1,0.00012227914055837984,,,,,,
Model2,067,417,39713,0.9418971538543701,16.0,48.0,192.0,112.0,48.0,0.1,0.0002021868436609202,,,,,,
Model2,068,473,45697,0.948129266500473,48.0,8.0,256.0,96.0,64.0,0.1,0.001102804105585901,,,,,,
Model2,069,273,16257,0.9329940974712372,32.0,8.0,128.0,64.0,40.0,0.1,0.00010854128446585706,,,,,,
Model2,070,217,8569,0.9476973712444305,40.0,32.0,64.0,32.0,48.0,0.1,0.006756163745376442,,,,,,
Model2,071,329,24281,0.9487077295780182,40.0,32.0,160.0,64.0,32.0,0.1,0.009343666641584668,,,,,,
Model2,072,361,27921,0.9473948776721954,32.0,56.0,160.0,64.0,48.0,0.1,0.0009196308750140528,,,,,,
Model2,073,233,9121,0.9411160051822662,48.0,24.0,64.0,32.0,64.0,0.1,0.0002149952530703501,,,,,,
Model2,074,305,13697,0.933267742395401,48.0,56.0,32.0,112.0,56.0,0.1,0.00010846531729031228,,,,,,
Model2,075,305,21897,0.9479265809059143,8.0,40.0,128.0,96.0,32.0,0.1,0.0035224511253237733,,,,,,
Model2,076,193,8121,0.9378096759319305,40.0,16.0,64.0,48.0,24.0,0.1,0.0002026525193223223,,,,,,
Model2,077,393,29977,0.9481955468654633,40.0,40.0,256.0,32.0,24.0,0.1,0.0068764992685704076,,,,,,
Model2,078,393,35873,0.946994960308075,48.0,24.0,192.0,96.0,32.0,0.1,0.0007104416318148381,,,,,,
Model2,079,353,20681,0.9460828304290771,24.0,8.0,224.0,48.0,48.0,0.1,0.0006764133576864393,,,,,,
Model2,080,233,11137,0.9478338062763214,48.0,24.0,64.0,64.0,32.0,0.1,0.0033178639809267113,,,,,,
Model2,081,377,33913,0.947341114282608,24.0,56.0,160.0,112.0,24.0,0.1,0.0008286694843864185,,,,,,
Model2,082,145,3841,0.9451987445354462,32.0,24.0,32.0,32.0,24.0,0.1,0.0017443362129422114,,,,,,
Model2,083,297,19905,0.9454669058322906,64.0,8.0,96.0,112.0,16.0,0.1,0.0005785736732203009,,,,,,
Model2,084,241,11681,0.9425426423549652,64.0,8.0,64.0,64.0,40.0,0.1,0.00028752007894035673,,,,,,
Model2,085,209,8761,0.9434298276901245,8.0,40.0,64.0,48.0,48.0,0.1,0.0007338716918437444,,,,,,
Model2,086,329,22777,0.9479523003101349,40.0,56.0,96.0,96.0,40.0,0.1,0.002242865877928494,,,,,,
Model2,087,297,18393,0.9454794228076935,40.0,56.0,96.0,64.0,40.0,0.1,0.0006651786666538932,,,,,,
Model2,088,233,7577,0.9440963864326477,56.0,48.0,32.0,80.0,16.0,0.1,0.0009731468041505693,,,,,,
Model2,089,273,13793,0.9377434253692627,64.0,24.0,96.0,32.0,56.0,0.1,0.00011551879589796051,,,,,,
Model2,090,425,40289,0.9463042318820953,64.0,40.0,256.0,48.0,16.0,0.1,0.0005342767472521939,,,,,,
Model2,091,425,34337,0.9479452967643738,16.0,40.0,256.0,64.0,48.0,0.1,0.0012782268636310837,,,,,,
Model2,092,161,5625,0.9446966648101807,24.0,16.0,64.0,32.0,24.0,0.1,0.0013622225247846436,,,,,,
Model2,093,313,22073,0.9425005614757538,24.0,40.0,128.0,80.0,40.0,0.1,0.00025984235234273364,,,,,,
Model2,094,409,40505,0.9470518827438354,40.0,64.0,192.0,96.0,16.0,0.1,0.000601289485348837,,,,,,
Model2,095,441,41833,0.9482298493385315,56.0,8.0,224.0,96.0,56.0,0.1,0.00679451983050615,,,,,,
Model2,096,417,33025,0.9488231241703033,16.0,16.0,256.0,80.0,48.0,0.1,0.00511185911937983,,,,,,
Model2,097,305,18409,0.9454568028450012,40.0,40.0,96.0,64.0,64.0,0.1,0.0006358745983798522,,,,,,
Model2,098,241,13905,0.9460500776767731,32.0,16.0,96.0,80.0,16.0,0.1,0.0010153958908885,,,,,,
Model2,099,385,24113,0.9482384026050568,48.0,16.0,224.0,32.0,64.0,0.1,0.009864796448312292,,,,,,
Model2,100,281,16201,0.947634220123291,40.0,56.0,96.0,48.0,40.0,0.1,0.0018940250585117665,,,,,,
Model2,101,257,13305,0.9396129250526428,8.0,64.0,64.0,80.0,40.0,0.1,0.0002497682809800825,,,,,,
Model2,102,433,43273,0.9371969401836395,8.0,32.0,224.0,128.0,40.0,0.1,0.00012141079829793765,,,,,,
Model2,103,273,11217,0.9453156888484955,48.0,48.0,32.0,96.0,48.0,0.1,0.0017688739479635907,,,,,,
Model2,104,161,4385,0.9464032351970673,32.0,40.0,32.0,32.0,24.0,0.1,0.00520665224551133,,,,,,
Model2,105,409,39753,0.9477106332778931,56.0,48.0,160.0,128.0,16.0,0.1,0.0013495506592223672,,,,,,
Model2,106,393,35921,0.9488691091537476,64.0,48.0,192.0,64.0,24.0,0.1,0.004093011265804264,,,,,,
Model2,107,345,27753,0.946699470281601,40.0,40.0,128.0,112.0,24.0,0.1,0.0007909444466098171,,,,,,
Model2,108,353,26401,0.9461256861686707,64.0,24.0,96.0,128.0,40.0,0.1,0.0007425639515658108,,,,,,
Model2,109,273,15945,0.9341479241847992,8.0,16.0,160.0,64.0,24.0,0.1,0.00016941135790087819,,,,,,
Model2,110,353,27305,0.9460180997848511,8.0,16.0,192.0,96.0,40.0,0.1,0.0008905259819768822,,,,,,
Model2,111,361,27665,0.9364360570907593,32.0,48.0,96.0,128.0,56.0,0.1,0.0001164331764071064,,,,,,
Model2,112,385,32977,0.9437689781188965,64.0,56.0,128.0,112.0,24.0,0.1,0.0002043585258514261,,,,,,
Model2,113,481,49857,0.9476482570171356,64.0,32.0,224.0,96.0,64.0,0.1,0.0007147230409475165,,,,,,
Model2,114,441,45697,0.9490102231502533,64.0,40.0,192.0,112.0,32.0,0.1,0.0011628120158793586,,,,,,
Model2,115,457,41409,0.9490998685359955,64.0,56.0,224.0,48.0,64.0,0.1,0.007880010037605347,,,,,,
Model2,116,313,19537,0.9477308988571167,16.0,64.0,128.0,48.0,56.0,0.1,0.003920143237423156,,,,,,
Model2,117,313,22473,0.9473691582679749,40.0,32.0,128.0,80.0,32.0,0.1,0.0010955889746809093,,,,,,
Model2,118,289,16817,0.9372249841690063,16.0,48.0,96.0,64.0,64.0,0.1,0.0001612576798240689,,,,,,
Model2,119,233,12105,0.9364313781261444,24.0,32.0,128.0,32.0,16.0,0.1,0.00018401148507984577,,,,,,
Model3,00,2175,208193,0.9593679904937744,,,,,,0.1,0.008620662600230582,32.0,3.0,3.0,64.0,100.0,90.0
Model3,01,2087,151419,0.9581892192363739,,,,,,0.2,0.0019517956376273492,32.0,3.0,3.0,16.0,75.0,75.0
Model3,02,1284,217255,0.9577526748180389,,,,,,0.2,0.0003244843025329892,16.0,3.0,3.0,48.0,200.0,75.0
Model3,03,2230,406603,0.9586203694343567,,,,,,0.1,0.0005507636527648588,32.0,3.0,3.0,64.0,200.0,45.0
Model3,04,3159,380085,0.9588900804519653,,,,,,0.1,0.0008973681703772068,48.0,3.0,3.0,48.0,125.0,105.0
Model3,05,2175,208193,0.9585338234901428,,,,,,0.2,0.0008827668717551935,32.0,3.0,3.0,64.0,100.0,90.0
Model3,06,3037,150059,0.9586320519447327,,,,,,0.1,0.0065245946738331576,48.0,3.0,3.0,16.0,50.0,90.0
Model3,07,3998,198287,0.9563922584056854,,,,,,0.1,0.00024248811303252698,64.0,3.0,3.0,32.0,50.0,75.0
Model3,08,3988,389567,0.9566394090652466,,,,,,0.1,0.0003245723031246938,64.0,3.0,3.0,32.0,100.0,15.0
Model3,09,2139,252305,0.9589049220085144,,,,,,0.1,0.0008629334695092028,32.0,3.0,3.0,48.0,125.0,45.0
Model3,10,4037,298049,0.9565785825252533,,,,,,0.2,0.00020952911266579243,64.0,3.0,3.0,16.0,75.0,105.0
Model3,11,2042,147954,0.9478501677513123,,,,,,0.1,0.00010919635006325875,32.0,3.0,3.0,16.0,75.0,30.0
Model3,12,2198,259782,0.9547784924507141,,,,,,0.2,0.00010730291169617341,32.0,3.0,3.0,32.0,125.0,120.0
Model3,13,1235,87623,0.9569122493267059,,,,,,0.1,0.0003723517832020787,16.0,3.0,3.0,64.0,75.0,135.0
Model3,14,2210,160938,0.9583981931209564,,,,,,0.1,0.0007015644123562024,32.0,3.0,3.0,64.0,75.0,150.0
Model3,15,2007,50009,0.9553413689136505,,,,,,0.2,0.00666325551487101,32.0,3.0,3.0,16.0,25.0,45.0
Model3,16,1185,108973,0.9584878385066986,,,,,,0.2,0.003814120220610665,16.0,3.0,3.0,64.0,100.0,60.0
Model3,17,2082,52034,0.9557178914546967,,,,,,0.1,0.0003219193613684285,32.0,3.0,3.0,16.0,25.0,120.0
Model3,18,3967,196659,0.9532356560230255,,,,,,0.1,0.0001336490177695986,64.0,3.0,3.0,16.0,50.0,60.0
Model3,19,3112,582959,0.959036648273468,,,,,,0.2,0.001704339592386605,48.0,3.0,3.0,16.0,200.0,15.0
Model3,20,1089,52315,0.9507635235786438,,,,,,0.1,0.00014110241885032892,16.0,3.0,3.0,48.0,50.0,30.0
Model3,21,2997,74979,0.9549125730991364,,,,,,0.1,0.00029713061219136634,48.0,3.0,3.0,16.0,25.0,75.0
Model3,22,1202,85034,0.957940548658371,,,,,,0.2,0.0033848805978041754,16.0,3.0,3.0,16.0,75.0,150.0
Model3,23,3224,534440,0.9592432677745819,,,,,,0.2,0.0019721491098115516,48.0,3.0,3.0,48.0,175.0,120.0
Model3,24,2985,74703,0.958210289478302,,,,,,0.1,0.0022261711101035104,48.0,3.0,3.0,64.0,25.0,15.0
Model3,25,3010,148703,0.957972526550293,,,,,,0.2,0.0008593423019135367,48.0,3.0,3.0,64.0,50.0,15.0
Model3,26,1112,78104,0.9574361145496368,,,,,,0.2,0.0006714558191249013,16.0,3.0,3.0,16.0,75.0,60.0
Model3,27,2130,53378,0.957351952791214,,,,,,0.2,0.0018989966454130073,32.0,3.0,3.0,64.0,25.0,120.0
Model3,28,4193,799577,0.9594350457191467,,,,,,0.1,0.007282286591355298,64.0,3.0,3.0,32.0,200.0,120.0
Model3,29,3024,149415,0.9568842053413391,,,,,,0.2,0.00030066602185290224,48.0,3.0,3.0,48.0,50.0,45.0
Model3,30,3019,221455,0.9566121101379395,,,,,,0.2,0.0002623354803381206,48.0,3.0,3.0,48.0,75.0,15.0
Model3,31,1227,184459,0.9579109251499176,,,,,,0.1,0.0005777151078335967,16.0,3.0,3.0,16.0,175.0,75.0
Model3,32,3099,372465,0.9569598138332367,,,,,,0.2,0.00020324982055142278,48.0,3.0,3.0,48.0,125.0,45.0
Model3,33,1297,219849,0.9582570493221283,,,,,,0.2,0.0010433012022792003,16.0,3.0,3.0,16.0,200.0,120.0
Model3,34,3119,302705,0.9589563608169556,,,,,,0.2,0.00161803979609517,48.0,3.0,3.0,48.0,100.0,90.0
Model3,35,2132,154884,0.9582438170909882,,,,,,0.1,0.0009056739791916226,32.0,3.0,3.0,16.0,75.0,120.0
Model3,36,1174,153935,0.9587443172931671,,,,,,0.2,0.005123598305521197,16.0,3.0,3.0,48.0,150.0,15.0
Model3,37,1180,57063,0.9548969864845276,,,,,,0.2,0.0002373832490075881,16.0,3.0,3.0,64.0,50.0,105.0
Model3,38,3027,293289,0.9582515954971313,,,,,,0.2,0.0007595965552970488,48.0,3.0,3.0,16.0,100.0,30.0
Model3,39,3938,195167,0.9526197612285614,,,,,,0.1,0.00015210043470696266,64.0,3.0,3.0,32.0,50.0,15.0
Model3,40,3188,598327,0.9571624994277954,,,,,,0.1,0.00019485187678669382,48.0,3.0,3.0,32.0,200.0,75.0
Model3,41,4189,606935,0.9598560333251953,,,,,,0.1,0.0035672600054176083,64.0,3.0,3.0,48.0,150.0,150.0
Model3,42,1343,229157,0.9544307589530945,,,,,,0.1,0.00012853904293262907,16.0,3.0,3.0,32.0,200.0,150.0
Model3,43,4095,400513,0.9589649438858032,,,,,,0.1,0.0008770141696048767,64.0,3.0,3.0,64.0,100.0,90.0
Model3,44,1163,56147,0.95628622174263,,,,,,0.2,0.00037041846926155037,16.0,3.0,3.0,32.0,50.0,120.0
Model3,45,3175,595733,0.9591247737407684,,,,,,0.2,0.001113421743399749,48.0,3.0,3.0,64.0,200.0,30.0
Model3,46,2087,151419,0.9591715335845947,,,,,,0.2,0.0056885040151349285,32.0,3.0,3.0,16.0,75.0,75.0
Model3,47,4143,599927,0.9599183797836304,,,,,,0.1,0.0046959885226848875,64.0,3.0,3.0,32.0,150.0,120.0
Model3,48,1079,26745,0.9512929022312164,,,,,,0.2,0.00018682425489218886,16.0,3.0,3.0,48.0,25.0,45.0
Model3,49,4007,295739,0.9553873538970947,,,,,,0.1,0.00017906393704515426,64.0,3.0,3.0,16.0,75.0,75.0
Model3,50,1213,111797,0.9584956169128418,,,,,,0.2,0.005906654353027764,16.0,3.0,3.0,32.0,100.0,120.0
Model3,51,2097,52439,0.9565341472625732,,,,,,0.2,0.0008793685539613403,32.0,3.0,3.0,16.0,25.0,135.0
Model3,52,2107,103459,0.9585018455982208,,,,,,0.2,0.009065729012187747,32.0,3.0,3.0,16.0,50.0,120.0
Model3,53,1305,198313,0.9587068855762482,,,,,,0.2,0.001566158835875298,16.0,3.0,3.0,64.0,175.0,105.0
Model3,54,3104,301175,0.9590553939342499,,,,,,0.2,0.0019639534347503356,48.0,3.0,3.0,48.0,100.0,75.0
Model3,55,2219,212665,0.9595067501068115,,,,,,0.1,0.0056854384297684,32.0,3.0,3.0,48.0,100.0,150.0
Model3,56,2175,350543,0.9593726694583893,,,,,,0.2,0.003584155938476183,32.0,3.0,3.0,64.0,175.0,15.0
Model3,57,4144,600095,0.9589493572711945,,,,,,0.2,0.009134662442736363,64.0,3.0,3.0,48.0,150.0,105.0
Model3,58,1099,77135,0.9510660469532013,,,,,,0.1,0.00012312657385013168,16.0,3.0,3.0,48.0,75.0,15.0
Model3,59,2125,250543,0.9520459771156311,,,,,,0.2,0.00010238670120442839,32.0,3.0,3.0,64.0,125.0,15.0
Model3,60,1220,86468,0.9560141265392303,,,,,,0.2,0.0002067568437134789,16.0,3.0,3.0,64.0,75.0,120.0
Model3,61,1088,52247,0.9504711925983429,,,,,,0.1,0.0001473332769477322,16.0,3.0,3.0,32.0,50.0,45.0
Model3,62,3134,304235,0.9576084315776825,,,,,,0.2,0.00024467706659129514,48.0,3.0,3.0,48.0,100.0,105.0
Model3,63,1243,114857,0.9572661817073822,,,,,,0.2,0.0004649990608657376,16.0,3.0,3.0,32.0,100.0,150.0
Model3,64,3062,437359,0.9574860334396362,,,,,,0.2,0.0003387929118854357,48.0,3.0,3.0,16.0,150.0,15.0
Model3,65,3060,296703,0.9590990245342255,,,,,,0.2,0.0039852321056818825,48.0,3.0,3.0,64.0,100.0,15.0
Model3,66,2095,102883,0.9580247700214386,,,,,,0.2,0.0010538897161618788,32.0,3.0,3.0,64.0,50.0,60.0
Model3,67,4154,697290,0.9582438170909882,,,,,,0.1,0.0003271739205768162,64.0,3.0,3.0,48.0,175.0,90.0
Model3,68,3037,150059,0.9577035307884216,,,,,,0.1,0.0006490955887196955,48.0,3.0,3.0,16.0,50.0,90.0
Model3,69,3140,449263,0.9588558077812195,,,,,,0.2,0.0006402236858833203,48.0,3.0,3.0,64.0,150.0,45.0
Model3,70,2215,261973,0.959106057882309,,,,,,0.2,0.007767123385994891,32.0,3.0,3.0,64.0,125.0,105.0
Model3,71,4149,504055,0.9566534161567688,,,,,,0.2,0.00012777420505385398,64.0,3.0,3.0,48.0,125.0,135.0
Model3,72,3147,305529,0.9575172066688538,,,,,,0.2,0.0002395384266020271,48.0,3.0,3.0,16.0,100.0,150.0
Model3,73,3218,604387,0.9593913853168488,,,,,,0.1,0.0025111087638684153,48.0,3.0,3.0,32.0,200.0,105.0
Model3,74,3073,77047,0.9584418535232544,,,,,,0.1,0.008823370006991712,48.0,3.0,3.0,32.0,25.0,135.0
