model,trial_id,nodes,parameters,val_accuracy,spatial_units,z_global_units,dense2_units,dense3_units,dropout_rate,learning_rate
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,000,277,14857,0.904758632183075,192,28,32,24,0.1,0.0017377012853110221
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,001,197,9961,0.8953579664230347,128,12,32,24,0.2,0.000263474572751995
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,002,197,9961,0.8751420974731445,128,4,32,32,0.15000000000000002,0.00021601136044030822
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,003,181,8329,0.9042932391166687,96,20,32,32,0.0,0.0058263756897235135
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,004,133,5609,0.8966793417930603,64,20,32,16,0.05,0.000464153439647295
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,005,149,6153,0.900104820728302,64,28,32,24,0.2,0.0044890809309126225
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,006,237,12409,0.9040185809135437,160,28,32,16,0.25,0.001473509849088392
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,007,197,9961,0.8936063051223755,128,20,32,16,0.1,0.0003498923554592848
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,008,245,12681,0.9011164307594299,160,20,32,32,0.0,0.0012334741931129647
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,009,277,14857,0.9026804566383362,192,28,32,24,0.2,0.004475458275879791
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,010,189,9689,0.8947674632072449,128,4,32,24,0.05,0.000575732702957742
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,011,253,12953,0.9048181176185608,160,28,32,32,0.25,0.0023057788252851554
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,012,253,14041,0.8609426617622375,192,12,32,16,0.15000000000000002,0.00011451864543384385
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,013,221,11865,0.8947476148605347,160,12,32,16,0.05,0.00026425375244298215
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,014,117,5065,0.8492897748947144,64,4,32,16,0.15000000000000002,0.00010295925479564696
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,015,181,9417,0.8862166404724121,128,4,32,16,0.1,0.0009689679055404804
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,016,197,9961,0.896580159664154,128,4,32,32,0.0,0.003364458958042958
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,017,197,9961,0.8802551627159119,128,4,32,32,0.2,0.0004605666456567159
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,018,133,5609,0.8985942602157593,64,12,32,24,0.15000000000000002,0.0010832260345031396
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,019,213,10505,0.8885465860366821,128,20,32,32,0.2,0.00012991121600668937
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,020,181,8329,0.8969753384590149,96,28,32,24,0.15000000000000002,0.00031021969453869444
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,021,109,3705,0.896767795085907,32,20,32,24,0.2,0.00263349573424098
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,022,165,7785,0.9018335938453674,96,20,32,16,0.25,0.003218438555994657
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,023,213,10505,0.905680239200592,128,20,32,32,0.15000000000000002,0.0020571513013852606
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,024,157,7513,0.8934460878372192,96,4,32,24,0.05,0.007764669056757976
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,025,205,10233,0.8883375525474548,128,28,32,16,0.0,0.00010450278707454006
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,026,149,6153,0.9016947746276855,64,28,32,24,0.1,0.004767295172393763
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,027,269,14585,0.9076516032218933,192,28,32,16,0.15000000000000002,0.0026798596778915378
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,028,165,7785,0.9016855955123901,96,12,32,24,0.2,0.0015225969110395504
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,029,109,3705,0.8948696851730347,32,12,32,32,0.0,0.0011196725758620485
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,030,181,8329,0.8911435604095459,96,20,32,32,0.05,0.00018980757724363517
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,031,181,9417,0.8956005573272705,128,4,32,16,0.2,0.0029912317267680685
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,032,141,5881,0.9022760987281799,64,20,32,24,0.25,0.0011567819399700755
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,033,157,7513,0.8978221416473389,96,12,32,16,0.0,0.0005131161690040967
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,034,237,12409,0.8750032186508179,160,12,32,32,0.1,0.00014268240389777708
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,035,237,12409,0.9004985094070435,160,28,32,16,0.25,0.0005804429242741638
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,036,125,4249,0.8938916325569153,32,28,32,32,0.25,0.0012963466988990479
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,037,197,9961,0.8976741433143616,128,12,32,24,0.05,0.007836255783976532
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,038,133,5609,0.878262460231781,64,4,32,32,0.25,0.00020200820998132453
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,039,181,8329,0.9024744629859924,96,20,32,32,0.25,0.002606977587599251
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,040,213,10505,0.9022913575172424,128,20,32,32,0.1,0.0006041820751401902
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,041,101,3433,0.8821914792060852,32,12,32,24,0.25,0.0002461390263263757
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,042,173,8057,0.9032862186431885,96,28,32,16,0.1,0.0030932505442956165
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,043,261,14313,0.9002711176872253,192,12,32,24,0.0,0.0013407608528649103
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,044,261,14313,0.8699252605438232,192,4,32,32,0.1,0.00012673108836085793
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,045,181,9417,0.8926815986633301,128,4,32,16,0.25,0.003373201432675782
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,046,221,11865,0.8954921960830688,160,12,32,16,0.0,0.0005794258624245173
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,047,237,12409,0.8917630910873413,160,28,32,16,0.1,0.00015409404207370289
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,048,117,3977,0.8933743238449097,32,28,32,24,0.05,0.0007236440598404395
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,049,149,6153,0.8792786598205566,64,28,32,24,0.2,0.00010424326825359434
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,050,117,5065,0.8670505881309509,64,4,32,16,0.0,0.0002832574472375902
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,051,197,9961,0.8903257250785828,128,12,32,24,0.15000000000000002,0.00021720625272752132
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,053,221,10777,0.9045572280883789,128,28,32,32,0.05,0.006091359237918639
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,054,237,12409,0.8981090188026428,160,12,32,32,0.25,0.006610542448699214
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,055,109,3705,0.8910596370697021,32,20,32,24,0.05,0.00036716160089469166
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,056,261,14313,0.8891310095787048,192,20,32,16,0.25,0.0001802695544210882
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,057,221,10777,0.902569055557251,128,28,32,32,0.05,0.009989156675663677
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,058,213,11593,0.8966900110244751,160,4,32,16,0.2,0.002726527367868604
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,059,149,7241,0.8501121997833252,96,4,32,16,0.15000000000000002,0.00012379489771448263
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,060,261,14313,0.8929913640022278,192,4,32,32,0.0,0.0014560799755276865
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,061,149,6153,0.8906980156898499,64,28,32,24,0.2,0.00016251785224584986
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,062,205,10233,0.8855285048484802,128,20,32,24,0.2,0.00010800795446531902
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,063,221,10777,0.8923627138137817,128,28,32,32,0.2,0.00017454749203373775
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,064,109,3705,0.9013682007789612,32,20,32,24,0.05,0.006296468723506783
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,065,133,5609,0.896462619304657,64,20,32,16,0.2,0.0015187132448708858
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,066,229,12137,0.8647984266281128,160,4,32,32,0.05,0.00014394082407546475
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,067,221,11865,0.9031137824058533,160,12,32,16,0.2,0.0031262739522834224
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,068,213,10505,0.9054009914398193,128,28,32,24,0.0,0.0026305382978764075
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,069,149,6153,0.9008601307868958,64,28,32,24,0.1,0.0012670781312549507
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,070,101,3433,0.8948467969894409,32,20,32,16,0.05,0.0008805279547553879
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,071,85,2889,0.8787720799446106,32,4,32,16,0.25,0.009009991282059635
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,072,85,2889,0.8754091262817383,32,4,32,16,0.05,0.006651041656536996
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,073,125,4249,0.8810425400733948,32,28,32,32,0.15000000000000002,0.00021804561638295085
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,074,189,9689,0.9018564820289612,128,12,32,16,0.25,0.0027376987449035375
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,075,253,14041,0.9008296132087708,192,12,32,16,0.1,0.0033908415191823255
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,076,125,5337,0.8806717395782471,64,4,32,24,0.15000000000000002,0.0005822751269209618
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,077,205,10233,0.8988932967185974,128,20,32,24,0.2,0.00039674283917309544
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,078,213,10505,0.9045618176460266,128,28,32,24,0.1,0.0016225381856303522
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,079,109,3705,0.8979915380477905,32,12,32,32,0.0,0.001282973471073738
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,080,141,5881,0.8915509581565857,64,12,32,32,0.2,0.00040228790416015195
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,081,101,3433,0.8989314436912537,32,20,32,16,0.25,0.00573552233935047
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,082,157,7513,0.8901075124740601,96,4,32,24,0.1,0.002297637366864227
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,083,245,12681,0.8979244232177734,160,28,32,24,0.05,0.00026747337227559095
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,084,189,9689,0.9016611576080322,128,12,32,16,0.0,0.001584132578436946
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,085,197,9961,0.8809463977813721,128,12,32,24,0.2,0.00021420783979311065
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,086,269,14585,0.9005274772644043,192,20,32,24,0.15000000000000002,0.009339162607282521
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,087,149,6153,0.9033411145210266,64,28,32,24,0.1,0.006158296440765279
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,088,269,14585,0.8980357646942139,192,12,32,32,0.2,0.0027581262567161506
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,089,197,9961,0.895890474319458,128,12,32,24,0.15000000000000002,0.00036724670443596247
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,090,213,10505,0.9016367793083191,128,28,32,24,0.1,0.0005957914791572176
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,091,269,14585,0.9011561274528503,192,20,32,24,0.05,0.007755867889032286
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,092,181,8329,0.9033334851264954,96,28,32,24,0.05,0.000972451322511578
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,093,165,7785,0.8908124566078186,96,12,32,24,0.25,0.00021800826373023657
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,094,237,12409,0.9024012088775635,160,12,32,32,0.0,0.0007837876080354357
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,095,245,12681,0.8852508068084717,160,20,32,32,0.2,0.00013437185489870095
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,096,109,3705,0.8938336372375488,32,20,32,24,0.05,0.0006929802948655483
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,097,173,8057,0.8987605571746826,96,12,32,32,0.0,0.0004808544647004281
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,098,285,15129,0.9065636992454529,192,28,32,32,0.15000000000000002,0.0039080605915127
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,099,261,14313,0.8957851529121399,192,12,32,24,0.2,0.00039233162208749745
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,100,261,14313,0.8963314294815063,192,20,32,16,0.1,0.0001671064584501386
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,101,269,14585,0.90582674741745,192,20,32,24,0.2,0.0037339329785232387
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,102,197,9961,0.8976283669471741,128,12,32,24,0.1,0.00047875503773115347
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,103,165,7785,0.8977962136268616,96,12,32,24,0.25,0.004299211781488068
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,104,93,3161,0.8827926516532898,32,12,32,16,0.1,0.00027363407710605464
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,105,173,8057,0.8989787697792053,96,20,32,24,0.1,0.007795489030652708
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,106,253,14041,0.8964489102363586,192,4,32,24,0.15000000000000002,0.0004846170152731575
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,107,125,5337,0.8961162567138672,64,12,32,16,0.1,0.0006199627420337139
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,108,189,8601,0.9055215716362,96,28,32,32,0.05,0.002579876453443278
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,109,165,7785,0.9011866450309753,96,20,32,16,0.15000000000000002,0.0017849165322769414
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,110,117,3977,0.9021433591842651,32,20,32,32,0.0,0.006006969118465886
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,111,221,10777,0.9035364389419556,128,28,32,32,0.0,0.008118715787580498
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,112,165,7785,0.8599340319633484,96,4,32,32,0.05,0.00019367160344936564
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,113,133,5609,0.8691180944442749,64,4,32,32,0.15000000000000002,0.00019787164170253032
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,114,181,8329,0.8896055221557617,96,20,32,32,0.1,0.00015594455412571505
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,115,213,10505,0.9033258557319641,128,28,32,24,0.25,0.0012129560775108322
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,116,133,5609,0.9002055525779724,64,12,32,24,0.05,0.006990703300813505
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,117,197,9961,0.8948162794113159,128,12,32,24,0.2,0.0003047566454213899
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,118,237,12409,0.905674159526825,160,20,32,24,0.0,0.0017779306516158035
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,119,285,15129,0.9053674340248108,192,28,32,32,0.0,0.0012625225902271942
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,120,269,14585,0.9014811515808105,192,12,32,32,0.15000000000000002,0.00492210572872919
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,121,245,13769,0.8570318818092346,192,4,32,16,0.05,0.00016379559434627597
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,122,117,3977,0.887710452079773,32,20,32,32,0.25,0.0004147014701918324
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,123,205,10233,0.9021098017692566,128,28,32,16,0.2,0.008128524746629794
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,124,197,9961,0.8543052077293396,128,20,32,16,0.25,0.0001194639466704474
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,125,149,6153,0.8877836465835571,64,28,32,24,0.2,0.00015821813975456654
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,126,109,3705,0.8917920589447021,32,28,32,16,0.0,0.00038809367036793515
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,127,149,6153,0.8978862762451172,64,20,32,32,0.1,0.0068419641998615265
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,128,269,14585,0.904880702495575,192,12,32,32,0.15000000000000002,0.0028652697828724623
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,129,197,9961,0.8778992891311646,128,20,32,16,0.25,0.00010301017394224362
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,130,285,15129,0.9046274423599243,192,28,32,32,0.0,0.004712335776716502
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,131,149,7241,0.8843978643417358,96,4,32,16,0.15000000000000002,0.0008640493682592615
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,132,245,12681,0.8977962136268616,160,20,32,32,0.1,0.00032747642598351744
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,133,285,15129,0.9013773798942566,192,28,32,32,0.15000000000000002,0.00038599229411126896
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,134,269,14585,0.9066506624221802,192,28,32,16,0.15000000000000002,0.004035439859879942
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,135,237,12409,0.9017542600631714,160,20,32,24,0.15000000000000002,0.008620552497440865
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,136,277,14857,0.8910886645317078,192,20,32,32,0.25,0.00010928245164324666
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,137,189,8601,0.8887602090835571,96,28,32,32,0.15000000000000002,0.00013521425127519483
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,138,253,14041,0.8899992108345032,192,12,32,16,0.0,0.00012326736443998143
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,139,197,9961,0.8791962265968323,128,4,32,32,0.15000000000000002,0.007704100384917633
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,140,237,12409,0.9056954979896545,160,28,32,16,0.05,0.001610075186688361
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,141,125,4249,0.8878950476646423,32,28,32,32,0.15000000000000002,0.000318789400975165
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,142,125,5337,0.8072330951690674,64,4,32,24,0.0,0.00012840079280248366
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,143,221,11865,0.9022440314292908,160,12,32,16,0.1,0.0017991073735913667
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,144,93,3161,0.8866026997566223,32,12,32,16,0.2,0.0004027083684614831
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,145,237,12409,0.899158775806427,160,28,32,16,0.15000000000000002,0.007711862216981024
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,146,253,14041,0.8941082954406738,192,4,32,24,0.05,0.001958975633214816
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,147,181,8329,0.9027460813522339,96,28,32,24,0.05,0.0059237449094478485
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,148,173,8057,0.8885831832885742,96,12,32,32,0.15000000000000002,0.00027191496988780196
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,149,213,11593,0.8879088163375854,160,4,32,16,0.25,0.0023085942870075898
