model,trial_id,parameters,val_accuracy
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,188,3365,0.8520624899846102
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,027,7177,0.8520513029833011
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,147,3365,0.8520144161141193
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,098,7177,0.8517144835384787
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,130,5885,0.8507953353228055
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,119,7177,0.8502365899601199
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,158,7121,0.8496016520479771
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,005,2597,0.849232481004774
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,023,4077,0.8490912829071691
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,042,2685,0.848668595668514
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,134,7177,0.8474836805839011
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,183,6325,0.8469926619318439
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,068,3313,0.8468635578897081
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,000,5233,0.8464825951424226
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,155,5885,0.8457046450243544
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,052,4817,0.844995328671075
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,157,3313,0.8446687891734015
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,190,1745,0.8442941758052372
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,177,4761,0.843459383626463
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,165,6325,0.8427382755691009
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,109,3309,0.8422306275907735
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,003,2649,0.841422139982645
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,101,7149,0.8411104157029216
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,026,1801,0.8410224314493819
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,033,3253,0.8397008535379648
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,132,6381,0.8390477745426179
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,087,1829,0.8387632618877007
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,111,4873,0.8383523663531283
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,192,3289,0.8370519530387825
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,008,5209,0.8366235211237796
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,064,1005,0.8361361306883633
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,021,1773,0.8358525250876063
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,143,5529,0.834714474467937
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,173,7121,0.8345339706900565
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,029,1717,0.833925034997173
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,069,2569,0.8337475547331598
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,028,4021,0.833584284984323
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,191,4873,0.8335232100042027
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,105,4049,0.8328547110881324
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,156,1801,0.8326633226603294
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,185,1745,0.8318874890019683
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,110,977,0.831025182847001
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,035,5245,0.8299763258864188
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,081,1773,0.82937434427543
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,079,1717,0.8293407832715024
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,091,5849,0.8290308731000995
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,092,3313,0.8252865535267777
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,128,7065,0.8230645731856648
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,146,5813,0.8227507324462343
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,186,4077,0.8212026933461529
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,120,5185,0.8195799734535482
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,075,5837,0.8194566140877605
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,168,4557,0.8193538146162707
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,149,6269,0.813354558400682
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,018,1985,0.8087022776129963
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,020,3365,0.8081465557641779
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,162,4845,0.8076558394635077
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,037,4761,0.8058783156608949
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,094,4557,0.8045156179608818
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,088,5837,0.80333614520123
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,043,5837,0.8029727188343749
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,139,3937,0.8000982642006886
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,090,3965,0.7998739194717317
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,040,3941,0.7989535618505115
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,127,2009,0.7953050876667844
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,133,5233,0.7933216625698053
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,017,4733,0.7921243510783362
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,071,693,0.7915123918715853
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,046,5529,0.7914745979482435
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,032,1745,0.7912327168388558
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,181,5873,0.7911078457161342
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,115,3965,0.7895268503148989
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,057,3953,0.7892166377921092
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,096,741,0.7890681832612225
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,164,5197,0.7880023946229829
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,153,1393,0.7876631563670666
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,131,2613,0.7874527198018993
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,086,6353,0.7874282293395738
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,179,3325,0.7850762379021651
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,135,4569,0.7843953425792387
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,053,3325,0.7841332039269399
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,140,4593,0.7835309199645644
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,196,2429,0.7828518387499583
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,197,4545,0.7824240115377289
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,194,6241,0.7821153107718728
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,103,2637,0.781650294339075
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,024,2613,0.7816112910101862
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,089,4789,0.778180812176295
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,198,5473,0.7764504551900128
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,083,5669,0.7752991011093272
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,077,4817,0.7752897282163385
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,152,3253,0.7739811514145509
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,001,4021,0.7726816451543654
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,060,5801,0.7721972782328166
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,178,7121,0.7709425199778679
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,174,4021,0.770777133769324
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,126,1801,0.7695353766240048
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,007,4817,0.7692850296757885
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,056,6353,0.7682467550137418
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,169,2673,0.7660072382921985
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,085,4789,0.7658197804324228
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,102,3277,0.7656256708421393
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,148,4021,0.7634432985326887
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,055,1005,0.7632624924034214
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,065,1369,0.7628951354685388
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,048,765,0.7622142401456123
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,114,4049,0.7594761459873436
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,100,7121,0.759246661284812
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,116,1985,0.7589098418399896
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,067,5185,0.7583414212329285
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,004,2021,0.7580659791196132
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,093,3253,0.7568553641671277
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,072,681,0.7561415125430472
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,074,3905,0.7535935974070345
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,063,4133,0.7533238999700671
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,054,6325,0.7505126367762086
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,122,977,0.7501613044648229
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,050,1973,0.7497561536065985
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,167,717,0.7496681693530587
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,136,7121,0.7479399288264835
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,099,5825,0.7439011190024823
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,025,3953,0.7412621960990624
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,062,4845,0.7402698788477993
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,137,2685,0.7394604841855107
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,095,4569,0.738253497449666
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,151,4845,0.7374788731968519
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,117,3905,0.7368623787192999
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,144,705,0.7349850789590646
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,159,4569,0.7342092453007035
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,106,5173,0.7330999180627742
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,187,2457,0.7330334007576925
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,010,3881,0.7325780595692702
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,163,4545,0.7312035701651746
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,199,3253,0.7283687235631505
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,036,753,0.7249349188640053
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,034,5529,0.7178695716587904
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,166,5837,0.7165171539059264
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,013,4557,0.7137337070396473
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,125,2597,0.7053071738913531
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,141,765,0.7034344094019187
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,170,1689,0.7032644879225738
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,112,3965,0.7003712875029101
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,124,3301,0.7000151175693368
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,129,4049,0.6986926326037595
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,051,3917,0.6923254147505148
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,049,1829,0.6835415022631002
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,189,4521,0.673159662696793
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,104,717,0.6728500548767767
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,058,4521,0.6629262776613725
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,045,3881,0.6561484666249422
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,073,765,0.6557079406544698
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,031,3241,0.6545638430070659
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,107,1345,0.653998748265259
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,082,2601,0.6535385694546488
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,038,1973,0.6490816076627935
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,019,3941,0.6466733788674522
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,066,5501,0.6324501649326815
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,142,2401,0.6264645145294958
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,041,921,0.6058066583822386
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,044,5813,0.5971838991839536
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,121,6241,0.5715045912058075
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,180,4705,0.5693702927668478
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,113,2401,0.5535503611587315
