model,trial_id,parameters,val_accuracy,spatial_units,z_global_units,dense2_units,dense3_units,dropout_rate,learning_rate
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,000,5233,0.8464825951424226,128,14,4,4,0.1,0.0017377012853110221
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,001,4021,0.7726816451543654,80,8,12,4,0.2,0.000263474572751995
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,003,2649,0.841422139982645,64,10,4,4,0.0,0.0058263756897235135
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,004,2021,0.7580659791196132,48,12,4,4,0.05,0.000464153439647295
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,005,2597,0.849232481004774,48,16,12,4,0.2,0.0044890809309126225
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,007,4817,0.7692850296757885,96,10,12,4,0.1,0.0003498923554592848
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,008,5209,0.8366235211237796,128,10,4,4,0.0,0.0012334741931129647
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,010,3881,0.7325780595692702,96,2,4,4,0.05,0.000575732702957742
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,013,4557,0.7137337070396473,112,8,4,4,0.05,0.00026425375244298215
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,017,4733,0.7921243510783362,96,4,12,4,0.2,0.0004605666456567159
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,018,1985,0.8087022776129963,48,6,4,4,0.15000000000000002,0.0010832260345031396
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,019,3941,0.6466733788674522,96,12,4,4,0.2,0.00012991121600668937
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,020,3365,0.8081465557641779,64,16,12,4,0.15000000000000002,0.00031021969453869444
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,021,1773,0.8358525250876063,32,12,12,4,0.2,0.00263349573424098
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,023,4077,0.8490912829071691,80,12,12,4,0.15000000000000002,0.0020571513013852606
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,024,2613,0.7816112910101862,64,4,4,4,0.05,0.007764669056757976
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,025,3953,0.7412621960990624,96,14,4,4,0.0,0.00010450278707454006
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,026,1801,0.8410224314493819,32,14,12,4,0.1,0.004767295172393763
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,027,7177,0.8520513029833011,144,14,12,4,0.15000000000000002,0.0026798596778915378
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,028,4021,0.833584284984323,80,8,12,4,0.2,0.0015225969110395504
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,029,1717,0.833925034997173,32,8,12,4,0.0,0.0011196725758620485
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,031,3241,0.6545638430070659,80,2,4,4,0.2,0.0029912317267680685
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,032,1745,0.7912327168388558,32,10,12,4,0.25,0.0011567819399700755
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,033,3253,0.8397008535379648,64,8,12,4,0.0,0.0005131161690040967
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,034,5529,0.7178695716587904,112,6,12,4,0.1,0.00014268240389777708
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,035,5245,0.8299763258864188,128,16,4,4,0.25,0.0005804429242741638
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,036,753,0.7249349188640053,16,14,4,4,0.25,0.0012963466988990479
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,037,4761,0.8058783156608949,96,6,12,4,0.05,0.007836255783976532
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,038,1973,0.6490816076627935,48,4,4,4,0.25,0.00020200820998132453
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,040,3941,0.7989535618505115,96,12,4,4,0.1,0.0006041820751401902
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,041,921,0.6058066583822386,16,6,12,4,0.25,0.0002461390263263757
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,042,2685,0.848668595668514,64,16,4,4,0.1,0.0030932505442956165
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,043,5837,0.8029727188343749,144,8,4,4,0.0,0.0013407608528649103
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,044,5813,0.5971838991839536,144,4,4,4,0.1,0.00012673108836085793
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,045,3881,0.6561484666249422,96,2,4,4,0.25,0.003373201432675782
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,046,5529,0.7914745979482435,112,6,12,4,0.0,0.0005794258624245173
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,048,765,0.7622142401456123,16,16,4,4,0.05,0.0007236440598404395
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,049,1829,0.6835415022631002,32,16,12,4,0.2,0.00010424326825359434
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,050,1973,0.7497561536065985,48,4,4,4,0.0,0.0002832574472375902
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,051,3917,0.6923254147505148,96,8,4,4,0.15000000000000002,0.00021720625272752132
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,052,4817,0.844995328671075,96,10,12,4,0.25,0.007390639370180473
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,053,3325,0.7841332039269399,80,16,4,4,0.05,0.006091359237918639
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,054,6325,0.7505126367762086,128,8,12,4,0.25,0.006610542448699214
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,055,1005,0.7632624924034214,16,12,12,4,0.05,0.00036716160089469166
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,056,6353,0.7682467550137418,128,10,12,4,0.25,0.0001802695544210882
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,057,3953,0.7892166377921092,96,14,4,4,0.05,0.009989156675663677
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,058,4521,0.6629262776613725,112,2,4,4,0.2,0.002726527367868604
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,060,5801,0.7721972782328166,144,2,4,4,0.0,0.0014560799755276865
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,062,4845,0.7402698788477993,96,12,12,4,0.2,0.00010800795446531902
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,063,4133,0.7533238999700671,80,16,12,4,0.2,0.00017454749203373775
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,064,1005,0.8361361306883633,16,12,12,4,0.05,0.006296468723506783
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,065,1369,0.7628951354685388,32,10,4,4,0.2,0.0015187132448708858
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,066,5501,0.6324501649326815,112,4,12,4,0.05,0.00014394082407546475
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,067,5185,0.7583414212329285,128,6,4,4,0.2,0.0031262739522834224
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,068,3313,0.8468635578897081,80,14,4,4,0.0,0.0026305382978764075
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,069,2569,0.8337475547331598,48,14,12,4,0.1,0.0012670781312549507
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,071,693,0.7915123918715853,16,4,4,4,0.25,0.009009991282059635
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,072,681,0.7561415125430472,16,2,4,4,0.05,0.006651041656536996
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,073,765,0.6557079406544698,16,16,4,4,0.15000000000000002,0.00021804561638295085
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,074,3905,0.7535935974070345,96,6,4,4,0.25,0.0027376987449035375
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,075,5837,0.8194566140877605,144,8,4,4,0.1,0.0033908415191823255
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,077,4817,0.7752897282163385,96,10,12,4,0.2,0.00039674283917309544
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,079,1717,0.8293407832715024,32,8,12,4,0.0,0.001282973471073738
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,081,1773,0.82937434427543,32,12,12,4,0.25,0.00573552233935047
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,082,2601,0.6535385694546488,64,2,4,4,0.1,0.002297637366864227
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,083,5669,0.7752991011093272,112,16,12,4,0.05,0.00026747337227559095
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,085,4789,0.7658197804324228,96,8,12,4,0.2,0.00021420783979311065
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,086,6353,0.7874282293395738,128,10,12,4,0.15000000000000002,0.009339162607282521
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,087,1829,0.8387632618877007,32,16,12,4,0.1,0.006158296440765279
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,088,5837,0.80333614520123,144,8,4,4,0.2,0.0027581262567161506
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,089,4789,0.778180812176295,96,8,12,4,0.15000000000000002,0.00036724670443596247
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,090,3965,0.7998739194717317,96,16,4,4,0.1,0.0005957914791572176
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,091,5849,0.8290308731000995,144,10,4,4,0.05,0.007755867889032286
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,092,3313,0.8252865535267777,80,14,4,4,0.05,0.000972451322511578
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,093,3253,0.7568553641671277,64,8,12,4,0.25,0.00021800826373023657
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,094,4557,0.8045156179608818,112,8,4,4,0.0,0.0007837876080354357
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,095,4569,0.738253497449666,112,10,4,4,0.2,0.00013437185489870095
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,096,741,0.7890681832612225,16,12,4,4,0.05,0.0006929802948655483
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,098,7177,0.8517144835384787,144,14,12,4,0.15000000000000002,0.0039080605915127
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,099,5825,0.7439011190024823,144,6,4,4,0.2,0.00039233162208749745
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,100,7121,0.759246661284812,144,10,12,4,0.1,0.0001671064584501386
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,101,7149,0.8411104157029216,144,12,12,4,0.2,0.0037339329785232387
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,102,3277,0.7656256708421393,80,8,4,4,0.1,0.00047875503773115347
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,103,2637,0.781650294339075,64,8,4,4,0.25,0.004299211781488068
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,104,717,0.6728500548767767,16,8,4,4,0.1,0.00027363407710605464
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,105,4049,0.8328547110881324,80,10,12,4,0.1,0.007795489030652708
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,106,5173,0.7330999180627742,128,4,4,4,0.15000000000000002,0.0004846170152731575
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,107,1345,0.653998748265259,32,6,4,4,0.1,0.0006199627420337139
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,109,3309,0.8422306275907735,64,12,12,4,0.15000000000000002,0.0017849165322769414
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,110,977,0.831025182847001,16,10,12,4,0.0,0.006006969118465886
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,111,4873,0.8383523663531283,96,14,12,4,0.0,0.008118715787580498
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,112,3965,0.7003712875029101,80,4,12,4,0.05,0.00019367160344936564
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,113,2401,0.5535503611587315,48,2,12,4,0.15000000000000002,0.00019787164170253032
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,114,4049,0.7594761459873436,80,10,12,4,0.1,0.00015594455412571505
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,115,3965,0.7895268503148989,96,16,4,4,0.25,0.0012129560775108322
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,116,1985,0.7589098418399896,48,6,4,4,0.05,0.006990703300813505
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,117,3905,0.7368623787192999,96,6,4,4,0.2,0.0003047566454213899
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,119,7177,0.8502365899601199,144,14,12,4,0.0,0.0012625225902271942
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,120,5185,0.8195799734535482,128,6,4,4,0.15000000000000002,0.00492210572872919
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,121,6241,0.5715045912058075,128,2,12,4,0.05,0.00016379559434627597
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,122,977,0.7501613044648229,16,10,12,4,0.25,0.0004147014701918324
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,124,3301,0.7000151175693368,80,12,4,4,0.25,0.0001194639466704474
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,125,2597,0.7053071738913531,48,16,12,4,0.2,0.00015821813975456654
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,126,1801,0.7695353766240048,32,14,12,4,0.0,0.00038809367036793515
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,127,2009,0.7953050876667844,48,10,4,4,0.1,0.0068419641998615265
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,128,7065,0.8230645731856648,144,6,12,4,0.15000000000000002,0.0028652697828724623
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,129,4049,0.6986926326037595,80,10,12,4,0.25,0.00010301017394224362
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,130,5885,0.8507953353228055,144,16,4,4,0.0,0.004712335776716502
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,131,2613,0.7874527198018993,64,4,4,4,0.15000000000000002,0.0008640493682592615
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,132,6381,0.8390477745426179,128,12,12,4,0.1,0.00032747642598351744
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,133,5233,0.7933216625698053,128,14,4,4,0.15000000000000002,0.00038599229411126896
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,134,7177,0.8474836805839011,144,14,12,4,0.15000000000000002,0.004035439859879942
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,135,4569,0.7843953425792387,112,10,4,4,0.15000000000000002,0.008620552497440865
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,136,7121,0.7479399288264835,144,10,12,4,0.25,0.00010928245164324666
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,137,2685,0.7394604841855107,64,16,4,4,0.15000000000000002,0.00013521425127519483
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,139,3937,0.8000982642006886,80,2,12,4,0.15000000000000002,0.007704100384917633
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,140,4593,0.7835309199645644,112,14,4,4,0.05,0.001610075186688361
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,141,765,0.7034344094019187,16,16,4,4,0.15000000000000002,0.000318789400975165
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,142,2401,0.6264645145294958,48,2,12,4,0.0,0.00012840079280248366
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,143,5529,0.834714474467937,112,6,12,4,0.1,0.0017991073735913667
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,144,705,0.7349850789590646,16,6,4,4,0.2,0.0004027083684614831
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,146,5813,0.8227507324462343,144,4,4,4,0.05,0.001958975633214816
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,147,3365,0.8520144161141193,64,16,12,4,0.05,0.0059237449094478485
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,148,4021,0.7634432985326887,80,8,12,4,0.15000000000000002,0.00027191496988780196
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,149,6269,0.813354558400682,128,4,12,4,0.25,0.0023085942870075898
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,151,4845,0.7374788731968519,96,12,12,4,0.05,0.00013232193565809248
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,152,3253,0.7739811514145509,64,8,12,4,0.25,0.0005716024863895304
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,153,1393,0.7876631563670666,32,14,4,4,0.05,0.004160097851397763
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,155,5885,0.8457046450243544,144,16,4,4,0.05,0.008468750257862407
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,156,1801,0.8326633226603294,32,14,12,4,0.0,0.0009403614999484184
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,157,3313,0.8446687891734015,80,14,4,4,0.05,0.006446041731396966
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,158,7121,0.8496016520479771,144,10,12,4,0.15000000000000002,0.008367811950596679
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,159,4569,0.7342092453007035,112,10,4,4,0.15000000000000002,0.00017076822487633532
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,162,4845,0.8076558394635077,96,12,12,4,0.1,0.0004415565393820781
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,163,4545,0.7312035701651746,112,6,4,4,0.15000000000000002,0.00020401594688637502
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,164,5197,0.7880023946229829,128,8,4,4,0.15000000000000002,0.0012928388435949555
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,165,6325,0.8427382755691009,128,8,12,4,0.05,0.0015691926121565343
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,166,5837,0.7165171539059264,144,8,4,4,0.05,0.00023623746207603882
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,167,717,0.7496681693530587,16,8,4,4,0.1,0.004499991835674089
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,168,4557,0.8193538146162707,112,8,4,4,0.05,0.0025835316963429902
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,169,2673,0.7660072382921985,64,14,4,4,0.15000000000000002,0.0007541342746039514
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,170,1689,0.7032644879225738,32,6,12,4,0.1,0.00010775083097404743
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,173,7121,0.8345339706900565,144,10,12,4,0.0,0.0009016928015042564
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,174,4021,0.770777133769324,80,8,12,4,0.15000000000000002,0.00023387024696140994
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,177,4761,0.843459383626463,96,6,12,4,0.25,0.004809578805743078
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,178,7121,0.7709425199778679,144,10,12,4,0.05,0.00021816829689460073
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,179,3325,0.7850762379021651,80,16,4,4,0.25,0.0024561798875303597
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,180,4705,0.5693702927668478,96,2,12,4,0.2,0.00010874253629071625
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,181,5873,0.7911078457161342,144,14,4,4,0.2,0.0009640647781250717
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,183,6325,0.8469926619318439,128,8,12,4,0.15000000000000002,0.007181380567455625
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,185,1745,0.8318874890019683,32,10,12,4,0.25,0.0025693372526793524
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,186,4077,0.8212026933461529,80,12,12,4,0.2,0.0005138473190043693
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,187,2457,0.7330334007576925,48,6,12,4,0.2,0.00017216462236898544
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,188,3365,0.8520624899846102,64,16,12,4,0.0,0.00713086781830726
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,189,4521,0.673159662696793,112,2,4,4,0.2,0.0021198031560287585
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,190,1745,0.8442941758052372,32,10,12,4,0.25,0.00397837121486654
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,191,4873,0.8335232100042027,96,14,12,4,0.15000000000000002,0.0004180189848024406
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,192,3289,0.8370519530387825,80,10,4,4,0.15000000000000002,0.0028345570108783778
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,194,6241,0.7821153107718728,128,2,12,4,0.25,0.0014091897562814942
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,196,2429,0.7828518387499583,48,4,12,4,0.2,0.002613956776855358
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,197,4545,0.7824240115377289,112,6,4,4,0.05,0.0003401691826873532
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,198,5473,0.7764504551900128,112,2,12,4,0.15000000000000002,0.0007154844161693303
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,199,3253,0.7283687235631505,64,8,12,4,0.15000000000000002,0.0001938289766330366
